,Origin_Hexagon_ID,Destination_Hexagon_ID,Origin_Centroid_Lat,Origin_Centroid_Lon,Destination_Centroid_Lat,Destination_Centroid_Lon
0,891126d33c7ffff,891126d33c3ffff,60.165104370729615,24.93823014697343,60.1623913166344,24.9360017051232
1,891126d33c7ffff,891126d33cfffff,60.165104370729615,24.93823014697343,60.162713516778346,24.94113964723899
2,891126d33c7ffff,891126d331bffff,60.165104370729615,24.93823014697343,60.165426557121,24.94336863499402
3,891126d33c7ffff,891126d3313ffff,60.165104370729615,24.93823014697343,60.16781743225663,24.94045899367283
4,891126d33c7ffff,891126d338bffff,60.165104370729615,24.93823014697343,60.16749507733448,24.935320325030318
5,891126d33c7ffff,891126d33d7ffff,60.165104370729615,24.93823014697343,60.16478200206416,24.933092024297583
6,891126d33c7ffff,891126d33d3ffff,60.165104370729615,24.93823014697343,60.16206893424887,24.930864128316045
7,891126d33c7ffff,891126d33dbffff,60.165104370729615,24.93823014697343,60.15967826999614,24.933773668018645
8,891126d33c7ffff,891126d33cbffff,60.165104370729615,24.93823014697343,60.160000483869396,24.938911064327637
9,891126d33c7ffff,891126d3353ffff,60.165104370729615,24.93823014697343,60.160322515496425,24.94404882586538
10,891126d33c7ffff,891126d3357ffff,60.165104370729615,24.93823014697343,60.163035534643534,24.946277954619735
11,891126d33c7ffff,891126d330bffff,60.165104370729615,24.93823014697343,60.16574856120106,24.948507488315688
12,891126d33c7ffff,891126d3303ffff,60.165104370729615,24.93823014697343,60.16813960487213,24.94559802769621
13,891126d33c7ffff,891126d3317ffff,60.165104370729615,24.93823014697343,60.170530501190186,24.942688245325023
14,891126d33c7ffff,891126d338fffff,60.165104370729615,24.93823014697343,60.170208160034655,24.9375490306178
15,891126d33c7ffff,891126d3383ffff,60.165104370729615,24.93823014697343,60.169885636577206,24.93241018137133
16,891126d33c7ffff,891126d339bffff,60.165104370729615,24.93823014697343,60.167172540142964,24.930182021812417
17,891126d33c7ffff,891126d306fffff,60.165104370729615,24.93823014697343,60.16445945116183,24.92795426701015
18,891126d33c7ffff,891126d306bffff,60.165104370729615,24.93823014697343,60.161746369659056,24.925726916861084
19,891126d33c7ffff,891126d32a7ffff,60.165104370729615,24.93823014697343,60.159355873913874,24.92863663698213
20,891126d33c7ffff,891126d32afffff,60.165104370729615,24.93823014697343,60.156965230840136,24.93154603555619
21,891126d33c7ffff,891126d3237ffff,60.165104370729615,24.93823014697343,60.15728745841941,24.936682886156355
22,891126d33c7ffff,891126d3227ffff,60.165104370729615,24.93823014697343,60.157609503784975,24.941820101949148
23,891126d33c7ffff,891126d335bffff,60.165104370729615,24.93823014697343,60.15793136689961,24.94695768289095
24,891126d33c7ffff,891126d3343ffff,60.165104370729615,24.93823014697343,60.16064436483997,24.949186952588285
25,891126d33c7ffff,891126d3347ffff,60.165104370729615,24.93823014697343,60.16335737019274,24.951416627221658
26,891126d33c7ffff,891126d3373ffff,60.165104370729615,24.93823014697343,60.166070382932595,24.953646706894652
27,891126d33c7ffff,891126d330fffff,60.165104370729615,24.93823014697343,60.16846159514381,24.95073742705685
28,891126d33c7ffff,891126d3307ffff,60.165104370729615,24.93823014697343,60.17085266000653,24.947827825449295
29,891126d33c7ffff,891126d33abffff,60.165104370729615,24.93823014697343,60.17324357750504,24.944917902033648
30,891126d33c7ffff,891126d33bbffff,60.165104370729615,24.93823014697343,60.172921250139424,24.93977814116363
31,891126d33c7ffff,891126d3387ffff,60.165104370729615,24.93823014697343,60.17259874043934,24.934638745790597
32,891126d33c7ffff,891126d3397ffff,60.165104370729615,24.93823014697343,60.17227604844197,24.92949971595821
33,891126d33c7ffff,891126d3393ffff,60.165104370729615,24.93823014697343,60.169562930855044,24.92727169762939
34,891126d33c7ffff,891126d3067ffff,60.165104370729615,24.93823014697343,60.16684982071928,24.925044084062765
35,891126d33c7ffff,891126d3063ffff,60.165104370729615,24.93823014697343,60.1641367180599,24.922816875154833
36,891126d33c7ffff,891126d307bffff,60.165104370729615,24.93823014697343,60.16142362290212,24.920590070802053
37,891126d33c7ffff,891126d32b7ffff,60.165104370729615,24.93823014697343,60.1590332956598,24.92349997126169
38,891126d33c7ffff,891126d32a3ffff,60.165104370729615,24.93823014697343,60.156642821084354,24.926409550192382
39,891126d33c7ffff,891126d32abffff,60.165104370729615,24.93823014697343,60.15425219919152,24.92931880763242
40,891126d33c7ffff,891126d3233ffff,60.165104370729615,24.93823014697343,60.15457444045356,24.93445511262167
41,891126d33c7ffff,891126d3223ffff,60.165104370729615,24.93823014697343,60.1548964995344,24.939591782767437
42,891126d33c7ffff,891126d322fffff,60.165104370729615,24.93823014697343,60.15521837639684,24.94472881802612
43,891126d33c7ffff,891126d1497ffff,60.165104370729615,24.93823014697343,60.15554007100364,24.94986621835399
44,891126d33c7ffff,891126d334bffff,60.165104370729615,24.93823014697343,60.158253047726106,24.952095628938036
45,891126d33c7ffff,891126d334fffff,60.165104370729615,24.93823014697343,60.16096603186285,24.95432544445257
46,891126d33c7ffff,891126d337bffff,60.165104370729615,24.93823014697343,60.16367902338867,24.956555665001083
47,891126d33c7ffff,891126d3363ffff,60.165104370729615,24.93823014697343,60.166392022278345,24.95878629068723
48,891126d33c7ffff,891126d3377ffff,60.165104370729615,24.93823014697343,60.16878340303436,24.955877191710904
49,891126d33c7ffff,891126d333bffff,60.165104370729615,24.93823014697343,60.171174636446466,24.952967770946927
50,891126d33c7ffff,891126d3333ffff,60.165104370729615,24.93823014697343,60.173565722498935,24.95005802835684
51,891126d33c7ffff,891126d33afffff,60.165104370729615,24.93823014697343,60.17595666117598,24.94714796390231
52,891126d33c7ffff,891126d33a3ffff,60.165104370729615,24.93823014697343,60.17563434762359,24.942007656771462
53,891126d33c7ffff,891126d33b3ffff,60.165104370729615,24.93823014697343,60.175311851704144,24.936867715173737
54,891126d33c7ffff,891126d314bffff,60.165104370729615,24.93823014697343,60.17498917345491,24.931728139152845
55,891126d33c7ffff,891126d315bffff,60.165104370729615,24.93823014697343,60.174666312913146,24.926588928752523
56,891126d33c7ffff,891126d302fffff,60.165104370729615,24.93823014697343,60.17195317418468,24.92436105171015
57,891126d33c7ffff,891126d302bffff,60.165104370729615,24.93823014697343,60.169240042905464,24.92213357943554
58,891126d33c7ffff,891126d3077ffff,60.165104370729615,24.93823014697343,60.16652691910069,24.91990651182505
59,891126d33c7ffff,891126d3073ffff,60.165104370729615,24.93823014697343,60.1638138027956,24.917679848775162
60,891126d33c7ffff,891126d3047ffff,60.165104370729615,24.93823014697343,60.161100694015346,24.91545359018243
61,891126d33c7ffff,891126d304fffff,60.165104370729615,24.93823014697343,60.158710535271155,24.918363670900906
62,891126d33c7ffff,891126d32b3ffff,60.165104370729615,24.93823014697343,60.15632022918931,24.921273430108435
63,891126d33c7ffff,891126d32bbffff,60.165104370729615,24.93823014697343,60.153929775785514,24.924182867843314
64,891126d33c7ffff,891126d3217ffff,60.165104370729615,24.93823014697343,60.151539175075555,24.927091984143818
65,891126d33c7ffff,891126d3207ffff,60.165104370729615,24.93823014697343,60.15186142999707,24.932227743620114
66,891126d33c7ffff,891126d323bffff,60.165104370729615,24.93823014697343,60.1521835027699,24.937363868216814
67,891126d33c7ffff,891126d322bffff,60.165104370729615,24.93823014697343,60.152505393356876,24.942500357890257
68,891126d33c7ffff,891126d1493ffff,60.165104370729615,24.93823014697343,60.15282710172074,24.947637212596824
69,891126d33c7ffff,891126d1483ffff,60.165104370729615,24.93823014697343,60.1531486278243,24.95277443229286
70,891126d33c7ffff,891126d1487ffff,60.165104370729615,24.93823014697343,60.155861583317616,24.95500398370742
71,891126d33c7ffff,891126d14b3ffff,60.165104370729615,24.93823014697343,60.15857454622721,24.957233940046752
72,891126d33c7ffff,891126d14b7ffff,60.165104370729615,24.93823014697343,60.161287516527814,24.959464301414506
73,891126d33c7ffff,891126d336bffff,60.165104370729615,24.93823014697343,60.16400049419419,24.961695067914203
